Date,Open,High,Low,Close,Adj Close,Volume
2023-06-01,18.007416,18.056208,17.709309,17.819710,17.819710,71630669
2023-06-02,17.819887,18.187490,17.719513,18.154699,18.154699,74861876
2023-06-03,18.154993,18.311888,18.063881,18.136406,18.136406,68680251
2023-06-04,18.136354,18.390251,18.102739,18.218000,18.218000,67454282
2023-06-05,18.218941,18.228664,16.690613,17.015717,17.015717,141812820
2023-06-06,17.015028,17.663095,16.943136,17.599556,17.599556,100312340
2023-06-07,17.598618,17.606241,16.781935,16.908236,16.908236,100753379
2023-06-08,16.908680,17.092691,16.807949,16.990864,16.990864,87553513
2023-06-09,16.990835,17.162380,16.827183,16.940594,16.940594,88461211
2023-06-10,16.940832,16.948248,13.423341,15.065045,15.065045,328662649
2023-06-11,15.065425,15.342771,14.886592,15.077999,15.077999,101667604
2023-06-12,15.077199,15.253964,14.821678,15.149862,15.149862,99473343
2023-06-13,15.149917,15.472409,15.052201,15.249440,15.249440,99172916
2023-06-14,15.249438,15.342050,14.481436,14.737949,14.737949,98842105
2023-06-15,14.737886,15.141986,14.674662,15.051906,15.051906,106217309
2023-06-16,15.052367,15.253071,14.764035,15.233614,15.233614,92176641
2023-06-17,15.233731,15.528321,15.118736,15.333720,15.333720,83444573
2023-06-18,15.332727,15.516101,15.150588,15.226117,15.226117,83291246
2023-06-19,15.227370,15.420318,15.123609,15.359856,15.359856,84043880
2023-06-20,15.360491,15.811989,15.018917,15.797637,15.797637,102088587
2023-06-21,15.796507,16.961880,15.766566,16.795992,16.795992,197537711
2023-06-22,16.794874,17.463249,16.559912,16.648348,16.648348,162814719
2023-06-23,16.647802,19.062599,16.635084,18.846270,18.846270,318253898
2023-06-24,18.849869,19.673920,18.150124,19.340263,19.340263,387531305
2023-06-25,19.330458,19.429916,18.179680,18.363539,18.363539,217231644
2023-06-26,18.363007,19.399536,17.883965,18.615053,18.615053,287432575
2023-06-27,18.611914,18.895378,18.307467,18.691011,18.691011,193456623
2023-06-28,18.690374,18.694271,17.303467,17.507273,17.507273,181311863
2023-06-29,17.502089,18.517632,17.482588,18.013086,18.013086,153800471
2023-06-30,18.012905,21.096655,18.005760,20.966318,20.966318,877096516
2023-07-01,20.960899,23.105724,20.706919,20.891191,20.891191,773491982
2023-07-02,20.893595,20.893595,19.785664,20.380796,20.380796,328877830
2023-07-03,20.380592,20.712326,19.870861,20.021351,20.021351,214731297
2023-07-04,20.023785,20.395796,19.420486,19.514297,19.514297,189811230
2023-07-05,19.511499,19.691462,18.665354,19.400782,19.400782,197834391
2023-07-06,19.399422,20.060108,18.681866,18.773458,18.773458,235540240
2023-07-07,18.778580,19.267202,18.637976,19.201351,19.201351,152680231
2023-07-08,19.201248,19.296801,18.706444,18.990917,18.990917,113510198
2023-07-09,18.990820,19.129524,18.580151,18.623983,18.623983,98112392
2023-07-10,18.624746,19.299803,18.237795,18.934135,18.934135,154960455
2023-07-11,18.936188,19.036680,18.626976,18.893341,18.893341,104222158
2023-07-12,18.893257,19.144646,18.583399,18.797688,18.797688,107463231
2023-07-13,18.797377,20.209112,18.625063,20.208361,20.208361,234436192
2023-07-14,20.203293,20.318924,18.548790,19.096869,19.096869,269090606
2023-07-15,19.096966,19.710922,18.996639,19.252296,19.252296,134552774
2023-07-16,19.251677,19.392765,18.793531,18.801546,18.801546,123609138
2023-07-17,18.801062,19.163481,18.650389,19.082527,19.082527,145849231
2023-07-18,19.081747,19.147938,18.538986,18.751217,18.751217,130632153
2023-07-19,18.751587,19.067774,18.742731,18.790121,18.790121,125558545
2023-07-20,18.788942,19.022915,18.530478,18.686157,18.686157,140163260
2023-07-21,18.687454,18.885508,18.616781,18.742205,18.742205,112149210
2023-07-22,18.743256,18.862803,18.382601,18.467686,18.467686,109579676
2023-07-23,18.471317,18.876726,18.422743,18.699596,18.699596,112838229
2023-07-24,18.698820,18.743374,17.916510,18.115522,18.115522,140825821
2023-07-25,18.115541,18.169043,17.972654,18.079538,18.079538,100195117
2023-07-26,18.080008,18.459482,17.947828,18.302341,18.302341,103996072
2023-07-27,18.303398,18.407938,18.061489,18.353670,18.353670,88837045
2023-07-28,18.354193,18.776438,18.354193,18.480721,18.480721,118292608
2023-07-29,18.480356,18.617878,18.421467,18.616789,18.616789,73729017
