Date,Open,High,Low,Close,Adj Close,Volume,ticker
2020-08-01,0.0,0.0,0.0,0.0,0.0,1604789,SHIB-USD
2020-08-02,0.0,0.0,0.0,0.0,0.0,193098,SHIB-USD
2020-08-03,0.0,0.0,0.0,0.0,0.0,129225,SHIB-USD
2020-08-04,0.0,0.0,0.0,0.0,0.0,19717,SHIB-USD
2020-08-05,0.0,0.0,0.0,0.0,0.0,26869,SHIB-USD
2020-08-06,0.0,0.0,0.0,0.0,0.0,8708,SHIB-USD
2020-08-07,0.0,0.0,0.0,0.0,0.0,17529,SHIB-USD
2020-08-08,0.0,0.0,0.0,0.0,0.0,13773,SHIB-USD
2020-08-09,0.0,0.0,0.0,0.0,0.0,5190,SHIB-USD
2020-08-10,0.0,0.0,0.0,0.0,0.0,6105,SHIB-USD
2020-08-11,0.0,0.0,0.0,0.0,0.0,2896,SHIB-USD
2020-08-12,0.0,0.0,0.0,0.0,0.0,1868,SHIB-USD
2020-08-13,0.0,0.0,0.0,0.0,0.0,1723,SHIB-USD
2020-08-14,0.0,0.0,0.0,0.0,0.0,3567,SHIB-USD
2020-08-15,0.0,0.0,0.0,0.0,0.0,1479,SHIB-USD
2020-08-16,0.0,0.0,0.0,0.0,0.0,506,SHIB-USD
2020-08-17,0.0,0.0,0.0,0.0,0.0,543,SHIB-USD
2020-08-18,0.0,0.0,0.0,0.0,0.0,153,SHIB-USD
2020-08-19,0.0,0.0,0.0,0.0,0.0,3411,SHIB-USD
2020-08-20,0.0,0.0,0.0,0.0,0.0,2058,SHIB-USD
2020-08-21,0.0,0.0,0.0,0.0,0.0,4894,SHIB-USD
2020-08-22,0.0,0.0,0.0,0.0,0.0,8019,SHIB-USD
2020-08-23,0.0,0.0,0.0,0.0,0.0,763,SHIB-USD
2020-08-24,0.0,0.0,0.0,0.0,0.0,32,SHIB-USD
2020-08-25,0.0,0.0,0.0,0.0,0.0,377,SHIB-USD
2020-08-26,0.0,0.0,0.0,0.0,0.0,595,SHIB-USD
2020-08-27,0.0,0.0,0.0,0.0,0.0,2404,SHIB-USD
2020-08-28,0.0,0.0,0.0,0.0,0.0,7426,SHIB-USD
2020-08-29,0.0,0.0,0.0,0.0,0.0,4191,SHIB-USD
2020-08-30,0.0,0.0,0.0,0.0,0.0,40609,SHIB-USD
2020-08-31,0.0,0.0,0.0,0.0,0.0,6653,SHIB-USD
2020-09-01,0.0,0.0,0.0,0.0,0.0,16378,SHIB-USD
2020-09-02,0.0,0.0,0.0,0.0,0.0,61769,SHIB-USD
2020-09-03,0.0,0.0,0.0,0.0,0.0,70619,SHIB-USD
2020-09-04,0.0,0.0,0.0,0.0,0.0,36623,SHIB-USD
2020-09-05,0.0,0.0,0.0,0.0,0.0,12080,SHIB-USD
2020-09-06,0.0,0.0,0.0,0.0,0.0,15529,SHIB-USD
2020-09-07,0.0,0.0,0.0,0.0,0.0,5673,SHIB-USD
2020-09-08,0.0,0.0,0.0,0.0,0.0,4343,SHIB-USD
2020-09-09,0.0,0.0,0.0,0.0,0.0,2993,SHIB-USD
2020-09-10,0.0,0.0,0.0,0.0,0.0,656,SHIB-USD
2020-09-11,0.0,0.0,0.0,0.0,0.0,79,SHIB-USD
2020-09-12,0.0,0.0,0.0,0.0,0.0,728,SHIB-USD
2020-09-13,0.0,0.0,0.0,0.0,0.0,697,SHIB-USD
2020-09-14,0.0,0.0,0.0,0.0,0.0,883,SHIB-USD
2020-09-15,0.0,0.0,0.0,0.0,0.0,429,SHIB-USD
2020-09-16,0.0,0.0,0.0,0.0,0.0,101,SHIB-USD
2020-09-17,0.0,0.0,0.0,0.0,0.0,1301,SHIB-USD
2020-09-18,0.0,0.0,0.0,0.0,0.0,290,SHIB-USD
2020-09-19,0.0,0.0,0.0,0.0,0.0,3568,SHIB-USD
2020-09-20,0.0,0.0,0.0,0.0,0.0,2796,SHIB-USD
2020-09-21,0.0,0.0,0.0,0.0,0.0,1881,SHIB-USD
2020-09-22,0.0,0.0,0.0,0.0,0.0,468,SHIB-USD
2020-09-23,0.0,0.0,0.0,0.0,0.0,505,SHIB-USD
2020-09-24,0.0,0.0,0.0,0.0,0.0,172,SHIB-USD
2020-09-25,0.0,0.0,0.0,0.0,0.0,206,SHIB-USD
2020-09-26,0.0,0.0,0.0,0.0,0.0,249,SHIB-USD
2020-09-27,0.0,0.0,0.0,0.0,0.0,2378,SHIB-USD
2020-09-28,0.0,0.0,0.0,0.0,0.0,640,SHIB-USD
2020-09-29,0.0,0.0,0.0,0.0,0.0,250,SHIB-USD
2020-09-30,0.0,0.0,0.0,0.0,0.0,512,SHIB-USD
2020-10-01,0.0,0.0,0.0,0.0,0.0,305,SHIB-USD
2020-10-02,0.0,0.0,0.0,0.0,0.0,8948,SHIB-USD
